measurement_time	Y	X	Z
6716616911714701312	0.731781	0.51059	0.13446
6716616933335567360	0.73111	0.509369	0.134491
6716616955149706240	0.733154	0.510559	0.134674
6716616976405498880	0.732849	0.509186	0.134521
6716616998043544576	0.736145	0.51239	0.134491
6716617019518381056	0.734528	0.512909	0.134338
6716617041096296448	0.733978	0.51297	0.134521
6716617062571132928	0.732941	0.512238	0.134491
6716617084191997952	0.732178	0.507629	0.134888
6716617105915942912	0.732025	0.510803	0.134583
6716617127794505728	0.73291	0.51004	0.134613
6716617150557833216	0.732422	0.511597	0.134735
6716617172225942528	0.731262	0.508087	0.134552
6716617194276304896	0.731079	0.507721	0.134521
6716617216927962112	0.732666	0.509064	0.134521
6716617238570302464	0.729523	0.50769	0.134644
6716617259924880384	0.730957	0.508026	0.134521
6716617281305227264	0.733551	0.510193	0.134583
6716617302621150208	0.731659	0.50827	0.134796
6716617323967137792	0.730957	0.507874	0.134644
6716617345751212032	0.73291	0.510376	0.134613
6716617366873861120	0.731995	0.510498	0.134644
6716617388335812608	0.731689	0.50592	0.134735
6716617409651734528	0.734161	0.510895	0.134674
6716617431070737408	0.72934	0.507782	0.134705
6716617452472558592	0.733276	0.506744	0.134705
6716617474235158528	0.733002	0.509552	0.134613
6716617497015664640	0.734131	0.510376	0.134583
6716617518421781504	0.732666	0.510559	0.134583
6716617539754884096	0.730042	0.507629	0.134735
6716617561332800512	0.7323	0.507141	0.134644
6716617582747506688	0.733093	0.510132	0.134613
6716617603999004672	0.731323	0.506989	0.134613
6716617625396532224	0.732391	0.51062	0.134613
6716617646862778368	0.733887	0.512299	0.134583
6716617668213061632	0.732971	0.509338	0.134583
6716617690207588352	0.733643	0.510895	0.13443
6716617713026750464	0.733032	0.510712	0.134644
6716617734445752320	0.735626	0.51236	0.134613
6716617756049437696	0.73288	0.509216	0.134552
6716617778975972352	0.73233	0.510834	0.134552
6716617800347729920	0.735077	0.513641	0.134521
6716617821856926720	0.732483	0.509552	0.134521
